School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,38265,Tekoa School District,3418,Tekoa High School,92,92,0,0,0,0,0,0,0,0,0,18,20,12,10,13,19
2017,WA,34402,Tenino School District,3509,Tenino High School,324,324,0,0,0,0,0,0,0,0,0,0,0,93,80,68,83
2017,WA,21237,Toledo School District,2616,Toledo High School,251,251,0,0,0,0,0,0,0,0,0,0,0,59,70,66,56
2017,WA,24404,Tonasket School District,2679,Tonasket High School,340,340,0,0,0,0,0,0,0,0,0,0,0,97,87,84,72
2017,WA,39202,Toppenish School District,1508,Computer Academy Toppenish High School,147,147,0,0,0,0,0,0,0,0,0,2,3,6,19,43,74
2017,WA,39202,Toppenish School District,2900,Toppenish High School,924,924,0,0,0,0,0,0,0,0,0,0,0,283,246,210,185
2017,WA,36300,Touchet School District,2160,Touchet Elem & High School,205,204,1,15,0,13,18,10,14,15,14,19,16,10,14,26,20
2017,WA,08130,Toutle Lake School District,2560,Toutle Lake High School,302,302,0,0,0,0,0,0,0,0,0,47,59,51,40,46,59
2017,WA,17406,Tukwila School District,2848,Foster Senior High School,922,922,0,0,0,0,0,0,0,0,0,0,0,260,229,214,219
2017,WA,34033,Tumwater School District,4500,A G West Black Hills High School,877,877,0,0,0,0,0,0,0,0,0,0,1,242,206,227,201
2017,WA,34033,Tumwater School District,5014,New Market High School,59,59,0,0,0,0,0,0,0,0,0,0,0,1,1,11,46
2017,WA,34033,Tumwater School District,3362,Tumwater High School,"1,250","1,250",0,0,0,0,0,0,0,0,0,0,0,304,335,304,307
2017,WA,33070,Valley School District,5223,Paideia High School,61,61,0,0,0,0,0,0,0,0,0,0,0,11,21,18,11
